Stalker,Glushkov,Moscow,523,1,0
Disc Math,Belousov,Moskov herald,822,0,0,2015
Book Name,Author,Publisher,pageCount,Type,BookType,year
vel enim,Barr,Deverose,531,0,0,1331
vel nisl,Salomon,Bryden,724,0,0,807
ullamcorper,Garreth,Dulson,532,0,0,1717
nunc,Roseline,Dubs,69,0,0,255
nulla suscipit,Cyndy,Calkin,984,0,0,1666
enim,Ulberto,Labroue,645,0,0,890
quisque arcu,Joelle,Bon,983,0,0,1152
quam nec,Cesar,Grishanin,295,0,0,375
Book Name,Author,Publisher,pageCount,Type,BookType,year
dapibus,Merrielle,Candish,535,0,1,579
duis,Sig,Alenov,636,0,1,1436
mi,Fionna,Beardshall,893,0,1,1726
pretium,La verne,Rosiello,394,0,1,1086
facilisi cras,Dina,Offner,460,0,1,563
ridiculus,Alex,Vorley,479,0,1,906
integer,Rudolph,Burdis,442,0,1,1260
nec,Lotte,Meaddowcroft,736,0,1,1272
fermentum donec,Darius,Fender,476,0,1,1341
nascetur ridiculus,Crystie,Craigheid,882,0,1,748
nec nisi,Crista,Mertin,1,0,1,1757
praesent lectus,Frieda,Selwyne,484,0,1,1140
nunc,Decca,Gayle,94,0,1,354
morbi,Dari,Winram,424,0,1,524
nunc,Brady,Harrop,87,0,1,1444
diam,Lindi,Maccrae,503,0,1,559
quisque,Zandra,Abbie,718,0,1,569
sagittis,Horton,Matusevich,690,0,1,457
pellentesque,Betsy,Petersen,946,0,1,1199
dapibus nulla,Marnia,Breheny,417,0,1,795
a,Emily,Lafoy,620,0,0,1572
ligula nec,Giffer,Nesbit,530,0,0,324
dui,Gareth,Davy,729,0,0,1242
pede,Marcelo,Rushton,382,0,0,1342
lacinia aenean,Josie,Gonthier,9,0,0,142
diam erat,Selina,Kennler,540,0,0,1922
rutrum ac,Coralyn,O'Heneghan,804,0,0,1848
erat,Reinhold,Tombs,716,0,0,6
mauris sit,Ilise,Durker,41,0,0,1203
ac,Isa,Cullin,207,0,0,1457
